,word,count
2,small,74
3,face,71
4,breathe,46
5,like,43
6,little,42
8,well,35
9,size,35
10,thick,31
11,ears,31
12,quality,31
13,one,31
14,wear,30
16,use,25
17,difficult,25
18,time,24
19,fit,24
20,bought,23
21,fabric,22
22,fits,22
23,hard,22
24,expensive,21
25,thin,20
26,nose,19
27,good,19
28,tight,19
29,price,19
30,comfortable,18
31,long,18
32,bad,16
33,n95,16
34,-,16
35,product,16
36,big,16
37,think,15
38,made,15
39,bit,15
40,black,15
41,buy,14
42,smell,14
43,feel,14
44,don&#39;t,14
45,put,13
46,recommend,13
47,material,13
48,unfortunately,13
49,tightly,12
50,would,12
51,get,12
52,disposable,12
53,still,11
54,much,11
55,medical,11
56,protection,11
57,glasses,11
58,looks,10
59,wash,10
60,look,10
61,iherb,10
62,quite,10
63,stuffy,10
64,also,10
65,elastic,10
66,wearing,10
67,enough,9
68,worth,9
69,disappointed,9
70,least,9
71,poor,9
72,even,9
73,length,9
74,high,9
75,rubber,9
76,bands,9
77,didn&#39;t,8
78,way,8
79,uncomfortable,8
80,large,8
81,used,8
82,people,8
83,behind,8
84,easy,8
85,day,8
86,breathable,8
87,without,8
88,normal,8
89,3,7
90,breathes,7
91,cotton,7
92,almost,7
93,washing,7
94,water,7
95,straps,7
96,really,7
97,kf94,7
98,easier,7
99,slightly,7
100,never,7
101,feels,7
102,since,7
103,layers,7
104,dense,7
105,synthetic,7
106,weird,7
107,always,7
108,everything,7
109,money,7
110,breath,7
111,due,7
112,soft,6
113,chin,6
114,fact,6
115,narrow,6
116,cold,6
117,man,6
118,filtration,6
119,better,6
120,compared,6
121,expected,6
122,ear,6
123,purchase,6
124,many,6
125,two,6
126,less,6
127,medium,6
128,child,6
129,reusable,6
130,hope,6
131,covid,6
132,can&#39;t,6
133,go,6
134,although,6
135,try,6
136,breathing,6
137,looking,6
138,regular,5
139,normally,5
140,inside,5
141,useless,5
142,buying,5
143,may,5
144,need,5
145,washed,5
146,pull,5
147,korean,5
148,come,5
149,impossible,5
150,work,5
151,part,5
152,air,5
153,sure,5
154,copper,5
155,loose,5
156,winter,5
157,know,5
158,covers,5
159,sits,5
160,don’t,5
161,thing,5
162,want,5
163,convenient,5
164,children,5
165,adults,5
166,adjustable,5
167,everyone,5
168,however,5
169,usual,5
170,say,5
171,mouth,5
172,average,5
173,selling,5
174,definitely,5
175,i&#39;m,5
176,strange,5
177,principle,4
178,first,4
179,adjust,4
180,might,4
181,95%,4
182,require,4
183,required,4
184,test,4
185,certificate,4
186,tests,4
187,individual,4
188,came,4
189,read,4
190,review,4
191,prefer,4
192,bridge,4
193,conventional,4
194,band,4
195,press,4
196,plus,4
197,shape,4
198,especially,4
199,seem,4
200,took,4
201,wide,4
202,carabiners,4
203,fashionable,4
204,rough,4
205,sorry,4
206,sweats,4
207,cover,4
208,plastic,4
209,pulled,4
210,temples,4
211,probably,4
212,washable,4
213,ones,4
214,protect,4
215,take,4
216,larger,4
217,three,4
218,lot,4
219,hurts,4
220,tried,4
221,10,4
222,husband,4
223,several,4
224,recommended,4
225,cut,4
226,smells,4
227,ordered,4
228,terrible,4
229,color,4
230,make,4
231,rather,4
232,head,4
233,men,4
234,washes,4
235,different,4
236,gauze,4
237,pattern,4
238,sell,4
239,hardly,3
240,wire,3
241,photo,3
242,smaller,3
243,hold,3
244,general,3
245,seems,3
246,hand,3
247,faces,3
248,similar,3
249,filter,3
250,particles,3
251,94%,3
252,difference,3
253,standards,3
254,prevents,3
255,requirement,3
256,label,3
257,us,3
258,every,3
259,bunch,3
260,help,3
261,another,3
262,suffocating,3
263,metal,3
264,using,3
265,years,3
266,clear,3
267,later,3
268,arrived,3
269,around,3
270,hurt,3
271,effect,3
272,sweat,3
273,pressure,3
274,becomes,3
275,strap,3
276,properly,3
277,it’s,3
278,close,3
279,leaving,3
280,virus,3
