,word,count
2,good,867
3,comfortable,785
4,face,632
5,quality,452
7,well,432
8,great,409
9,breathe,400
10,fit,344
11,size,311
12,easy,288
13,nice,282
14,like,279
15,wear,272
16,nose,262
17,price,260
18,one,242
19,fits,213
20,excellent,203
21,use,188
23,ears,174
24,small,171
25,recommend,169
27,fabric,164
28,protection,163
29,much,161
30,soft,155
31,little,153
35,love,140
36,product,140
37,wash,139
38,better,138
39,buy,123
40,high,123
41,large,121
42,liked,114
43,would,113
44,made,112
45,material,110
46,elastic,109
47,bands,108
48,glasses,105
49,bit,103
51,cotton,102
52,wearing,100
53,breathable,99
54,even,98
55,best,98
56,big,97
57,feel,97
58,husband,94
59,pleasant,93
60,easily,91
61,adjustable,91
62,black,90
63,disposable,89
64,looks,84
65,skin,84
66,ear,82
67,tight,81
68,ordered,79
69,convenient,79
70,breathing,77
71,long,76
73,perfectly,73
74,beautiful,72
75,order,72
76,chin,72
77,medical,71
78,suitable,71
79,used,70
80,need,70
81,take,70
82,think,69
83,put,68
84,perfect,68
85,washing,68
86,happy,67
87,quite,67
88,reusable,66
89,cute,66
90,get,65
91,without,65
92,super,63
93,fog,62
94,ones,62
96,stylish,61
97,day,61
98,look,60
99,hot,60
100,smell,59
101,easier,59
102,rubber,58
103,shape,57
104,iherb,56
105,still,55
106,cloth,55
107,design,55
108,thick,55
109,times,55
110,smaller,55
111,light,54
112,3,54
113,expensive,54
114,since,53
115,breath,52
116,family,52
117,pretty,51
118,around,51
119,thing,50
120,purchase,49
121,straps,49
122,many,48
123,washed,48
124,regular,48
125,mouth,48
126,cool,48
127,first,47
128,make,47
129,behind,47
130,using,46
131,every,46
132,layers,45
133,different,45
134,work,45
135,protect,45
136,dense,45
137,colors,44
138,quickly,44
139,filter,44
140,inside,44
141,enough,44
142,breathes,44
143,several,43
144,ok,43
145,definitely,43
146,protects,43
147,value,43
148,snugly,43
149,normal,43
150,two,42
151,tightly,42
152,air,41
153,less,41
154,hurt,41
155,money,40
156,tried,40
157,color,39
158,thin,39
159,especially,39
160,feels,39
161,may,39
162,right,39
163,don&#39;t,39
164,package,39
165,second,38
166,child,38
167,press,38
168,protective,38
169,metal,38
170,seems,37
171,know,37
172,sits,37
173,wire,37
174,medium,37
175,covers,37
176,fine,36
177,loops,36
178,i&#39;m,36
179,everyone,36
180,10,36
181,people,36
182,adjust,36
183,whole,36
184,lot,36
185,another,35
186,find,35
187,surgical,35
188,faces,35
189,recommended,34
190,sweet,34
191,cover,34
192,kn95,34
193,nothing,34
194,satisfied,33
195,found,33
196,way,33
197,pieces,33
198,already,33
199,comfortably,32
200,others,32
201,safe,32
202,worth,32
203,washable,32
204,part,32
205,days,32
206,works,32
207,men,32
208,came,32
209,hope,32
210,want,31
211,effective,31
212,water,31
213,head,31
214,go,31
215,n95,31
216,bridge,31
217,buying,30
218,wish,30
219,touch,30
220,however,30
221,though,30
222,could,30
223,difficult,30
224,plus,30
225,keep,30
226,got,30
227,kf94,30
228,korea,30
229,normally,30
230,piece,30
231,worn,29
232,warm,29
233,everything,29
234,length,29
235,yet,29
236,larger,29
237,l,29
238,korean,29
239,clip,29
240,bad,29
241,don’t,28
242,hours,28
243,highly,28
244,viruses,28
245,2,28
246,summer,28
247,strong,28
248,feeling,27
249,i've,27
250,actually,27
251,adult,27
252,fast,27
253,hard,27
254,bag,27
255,blue,27
256,sewn,27
257,dries,26
258,virus,26
259,compared,26
260,three,25
261,always,25
262,cheap,25
263,sizes,25
264,sweat,25
265,amazing,25
266,cheaper,25
267,packaging,25
268,new,25
269,:),24
270,dry,24
271,useful,24
272,delivery,24
273,hand,24
274,women,24
275,thank,24
276,side,24
277,seem,24
278,back,24
279,pandemic,24
280,say,24
281,ordinary,24
282,important,24
283,washes,23
284,white,23
285,wonderful,23
286,winter,23
287,see,23
288,months,23
289,short,23
290,products,23
291,purchased,23
292,far,23
293,area,23
294,&,22
295,decent,22
296,due,22
297,similar,22
298,loose,22
299,4,22
300,space,22
301,although,22
302,available,22
303,top,22
304,review,22
305,i’m,22
306,general,22
307,5,22
308,looking,22
309,course,22
310,kind,21
311,overall,21
312,band,21
313,set,21
314,tie,21
315,fact,21
316,average,21
317,reasonable,21
318,rub,21
319,snug,21
320,box,21
321,completely,21
322,try,20
323,going,20
324,almost,20
325,corona,20
326,us,20
327,problem,20
328,thought,20
329,covid,20
330,son,20
331,coverage,20
332,favorite,20
333,places,20
334,cannot,20
335,plastic,20
336,dust,20
337,makes,20
338,comfy,20
339,sold,19
340,nicely,19
341,come,19
342,children,19
343,store,19
344,necessary,19
345,allows,19
346,conventional,19
347,adjusted,19
348,i'm,19
349,eyes,19
350,cause,18
351,solid,18
352,pull,18
353,fashionable,18
354,100%,18
355,close,18
356,lightweight,18
357,sides,18
358,slightly,18
359,hold,18
360,👍,18
361,respirators,18
362,must,18
363,pack,18
364,trial,18
365,please,18
366,unlike,18
367,pharmacies,18
368,pleased,18
369,change,17
370,give,17
371,secure,17
372,health,17
373,probably,17
374,kids,17
375,turned,17
376,option,17
377,main,17
378,fixed,17
379,didn&#39;t,17
380,durable,17
381,strings,16
382,standard,16
383,pharmacy,16
384,care,16
385,period,16
386,clean,16
387,+,16
388,prefer,16
389,least,16
390,practical,16
391,rather,16
392,iron,16
393,protected,16
394,sit,16
395,helps,16
396,degree,16
397,able,16
398,reliable,16
399,soap,16
400,special,16
401,year,16
402,filtration,16
403,thanks,16
404,bigger,15
405,away,15
406,expected,15
407,multiple,15
408,exactly,15
409,goes,15
410,adjustment,15
411,comes,15
412,they're,15
413,neat,15
414,lips,15
415,man,15
416,immediately,15
417,place,15
418,job,15
419,type,15
420,weather,15
421,layer,15
422,wears,15
423,stay,15
424,sure,15
425,filters,15
426,seams,14
427,print,14
428,helpful,14
429,can’t,14
430,pleasure,14
431,longer,14
432,fall,14
433,uncomfortable,14
434,paper,14
435,doesn’t,14
436,cost,14
437,stick,14
438,lose,14
439,pass,14
440,test,14
441,doesn&#39;t,14
442,site,14
443,edges,14
444,chemical,14
445,sometimes,14
446,holds,14
447,needed,14
448,manufacturer,14
449,loved,14
450,cut,14
451,bacteria,14
452,slip,14
453,kosette,14
454,pattern,14
455,chinese,14
456,odor,14
457,soon,13
458,patterns,13
459,become,13
460,daily,13
461,usual,13
462,gaps,13
463,didn’t,13
464,shipping,13
465,thinner,13
466,adults,13
467,felt,13
468,wanted,13
469,daughter,13
470,went,13
471,reviews,13
472,hands,13
473,glad,13
474,old,13
475,outside,13
476,full,13
477,public,13
478,pressure,13
479,nano,13
480,freely,13
481,opinion,13
482,can't,13
483,lower,13
484,sealed,13
485,mesh,13
486,level,13
487,suited,12
488,anywhere,12
489,they’re,12
490,high-quality,12
491,something,12
492,otherwise,12
493,leopard,12
494,1,12
495,broke,12
496,woman,12
497,gentle,12
498,either,12
499,multi-layered,12
500,yes,12
501,someone,12
502,(i,12
503,discount,12
504,respirator,12
505,packed,12
506,soapy,12
507,wore,12
508,rest,12
509,50,12
510,comfort,12
511,uses,12
512,interfere,11
513,particles,11
514,break,11
515,unfortunately,11
516,shrink,11
517,thicker,11
518,regret,11
519,2020,11
520,difference,11
521,sensitive,11
522,sale,11
523,photo,11
524,last,11
525,gray,11
526,half,11
527,huge,11
528,next,11
529,simple,11
530,add,11
531,designed,11
532,car,11
533,👍🏻,11
534,getting,11
535,extra,11
536,double,11
537,seal,11
538,stock,11
539,attached,11
540,style,11
541,can&#39;t,11
542,safer,11
543,stars,11
544,/,11
545,single,11
546,low,11
547,cm,11
548,making,11
549,ever,11
550,harder,11
551,non-woven,11
552,gives,10
553,stuffy,10
554,seen,10
555,reason,10
556,never,10
557,personally,10
558,person,10
559,lovely,10
560,issue,10
561,putting,10
562,walk,10
563,fix,10
564,rough,10
565,okay,10
566,allow,10
567,help,10
568,quick,10
569,fairly,10
570,packages,10
571,negative,10
572,female,10
573,machine,10
574,brand,10
575,pay,10
576,affordable,10
577,years,10
578,6,10
579,near,10
580,contains,10
581,tested,10
582,beginning,10
583,ordering,10
584,i’ve,10
585,room,10
586,street,10
587,ideal,10
588,advise,10
589,lipstick,10
590,importantly,10
591,leave,10
592,appearance,10
593,wide,10
594,pain,10
595,arrived,10
596,sell,10
597,extremely,9
598,cold,9
599,cozy,9
600,gift,9
601,minutes,9
602,therefore,9
603,irritate,9
604,string,9
605,designs,9
606,let,9
607,gave,9
608,fitting,9
609,usually,9
610,couple,9
611,individual,9
612,mind,9
613,friends,9
614,decided,9
615,filtering,9
616,china,9
617,prices,9
618,maybe,9
619,crush,9
620,comparison,9
621,deal,9
622,i&#39;ve,9
623,perhaps,9
624,terms,9
625,anything,9
626,hurts,9
627,stretch,9
628,awesome,9
629,hopefully,9
630,including,9
631,talk,9
632,individually,9
633,bottom,9
634,gets,9
635,instead,9
636,fogging,9
637,retainer,9
638,problems,9
639,according,9
640,real,9
641,girls,8
642,shopping,8
643,indoors,8
644,received,8
645,constantly,8
646,looked,8
647,everyday,8
648,gauze,8
649,often,8
650,tighter,8
651,said,8
652,relevant,8
653,knot,8
654,written,8
655,that's,8
656,pocket,8
657,clear,8
658,sewing,8
659,wrong,8
660,critical,8
661,packaged,8
662,school,8
663,flexible,8
664,adjusting,8
665,hair,8
666,understand,8
667,likes,8
668,believe,8
669,washings,8
670,pity,8
671,presses,8
672,periods,8
673,valve,8
674,keeps,8
675,provides,8
676,95%,8
677,narrow,8
678,efficiency,8
679,heavy,8
680,done,8
681,smells,8
682,pcs,8
683,disappointed,8
684,forget,8
685,suffocate,8
686,fade,8
687,addition,8
688,pollen,8
689,condensation,8
690,sized,8
691,steam,8
692,won&#39;t,8
693,says,8
694,week,8
695,twist,8
696,talking,8
697,inches,8
698,form,8
699,irritation,8
700,higher,8
701,covid-19,8
702,strap,8
703,kid,7
704,points,7
705,discomfort,7
706,priced,7
707,sat,7
708,effectiveness,7
709,colours,7
710,else,7
711,point,7
712,makeup,7
713,hour,7
714,plain,7
715,future,7
716,third,7
717,company,7
718,trying,7
719,gap,7
720,purpose,7
721,added,7
722,i&#39;ll,7
723,case,7
724,equivalent,7
725,healthy,7
726,offer,7
727,guard,7
728,generally,7
729,broken,7
730,crowded,7
731,advertised,7
732,intended,7
733,strange,7
734,fitted,7
735,denser,7
736,information,7
737,check,7
738,essential,7
739,guess,7
740,smooth,7
741,forward,7
742,amount,7
743,five,7
744,taking,7
745,strip,7
746,carefully,7
747,along,7
748,remains,7
749,properties,7
750,home,7
751,middle,7
752,smoke,7
753,gently,7
754,weight,7
755,finally,7
756,picture,7
757,reuse,7
758,might,7
759,pricey,7
760,texture,7
761,build,7
762,month,7
763,inner,7
764,possible,7
765,reduce,7
766,convenience,7
767,torn,7
768,folded,7
769,packs,7
770,sense,7
771,x,7
772,provide,7
773,relatively,7
774,asked,7
775,droplets,7
776,neatly,7
777,stores,7
778,woman&#39;s,7
779,copper,6
780,contact,6
781,universal,6
782,"
i",6
783,keeping,6
784,humid,6
785,heat,6
786,carry,6
787,environment,6
788,mom,6
789,cooler,6
790,structure,6
791,taste,6
792,appropriate,6
793,totally,6
794,dark,6
795,friend,6
796,fold,6
797,natural,6
798,upper,6
799,item,6
800,straight,6
801,recently,6
802,mandatory,6
803,purse,6
804,grateful,6
805,testing,6
806,idea,6
807,members,6
808,ends,6
809,stays,6
